,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5_fastridefix,n_sets delta w/ hydra_v5_fastridefix,is_FA delta w/ hydra_v5_fastridefix,signal_score delta w/ hydra_v5_fastridefix
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All,Average,,,12.13,8.11%,65.67%,85.44%,0.73,-0.08,96.14%,,83.74%,0.26%,,-0.01%,0.40%
,Sum,256,,3105,,,,,,,,,,-9.00,,
,,,,,,,,,,,,,,,,
MVP,Average,,,11.87,5.04%,71.13%,90.33%,0.86,-0.14,96.16%,,87.67%,0.00%,,0.00%,-0.75%
,Sum,182,,2160,,,,,,,,,,-5.00,,
,,,,,,,,,,,,,,,,
List A,Average,,,12.77,15.65%,52.24%,73.41%,0.42,0.07,96.09%,,74.10%,0.89%,,-0.05%,3.25%
,Sum,74,,945,,,,,,,,,,-4.00,,
