,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
197,split squat arms straight out,MVP,939,20,4.62%,30.00%,85.00%,1,0.90,98.41%,395,94.49%,0.26%,0.00,0.02%
198,split squat hands on hips,MVP,942,16,6.19%,62.50%,81.25%,1,0.31,97.26%,194,81.26%,-2.27%,0.00,0.25%
199,split squat runners arms,MVP,945,20,3.38%,55.00%,85.00%,1,0.55,98.63%,369,92.74%,0.23%,0.00,0.04%
200,split squat with lateral raise,List A,944,12,11.59%,58.33%,91.67%,0,-0.58,98.48%,120,96.24%,0.83%,0.00,2.71%
201,squat jumps arms by side,MVP,949,20,8.73%,30.00%,85.00%,1,-0.25,92.21%,235,90.91%,-0.13%,0.00,0.12%
202,squat jumps arms by side dumbbell,MVP,955,8,3.52%,62.50%,100.00%,1,-0.38,92.44%,82,81.66%,0.00%,0.00,0.00%
203,squat jumps arms straight out,MVP,951,18,15.45%,50.00%,83.33%,0,-2.11,86.49%,199,84.82%,0.00%,0.00,0.08%
204,squat jumps arms swinging,MVP,952,7,5.90%,57.14%,85.71%,1,0.29,95.69%,73,95.61%,-1.59%,0.00,-0.18%
205,squat jumps hands centered,MVP,948,20,6.08%,65.00%,95.00%,1,0.55,95.48%,234,95.45%,0.00%,0.00,0.16%
206,squat jumps hands on hips,MVP,950,20,14.60%,45.00%,75.00%,0,-1.65,86.98%,239,82.58%,-0.96%,0.00,0.75%
207,squat jumps single dumbbell hanging center,MVP,947,9,14.20%,44.44%,66.67%,0,-1.00,84.53%,91,86.76%,0.00%,0.00,-0.26%
208,squat jumps weights racked,MVP,956,8,10.68%,62.50%,75.00%,0,-0.13,92.88%,84,83.11%,0.00%,0.00,-0.05%
209,squat thrust jump back,List A,1585,10,4.00%,80.00%,80.00%,1,0.00,87.06%,102,47.01%,0.00%,0.00,0.42%
210,squat thrust step back,List A,1586,7,18.85%,14.29%,57.14%,0,0.14,80.55%,77,66.46%,0.00%,0.00,0.00%
211,standing good morning hands on head,List A,1073,19,6.04%,52.63%,63.16%,1,0.89,98.75%,276,77.19%,0.12%,0.00,0.01%
212,supinated row alternating with resting arm down,List A,1647,5,37.97%,20.00%,60.00%,0,-0.60,96.65%,56,85.49%,-6.54%,0.00,0.41%
213,supinated row alternating with resting arm up,List A,1648,5,4.22%,40.00%,100.00%,1,-0.20,97.37%,68,79.55%,0.29%,0.00,-0.30%
214,supinated row both arms,List A,1649,7,0.00%,100.00%,100.00%,1,0.00,99.93%,77,72.96%,0.00%,-1.00,0.04%
215,supinated row on knees same time,List A,1650,5,30.00%,60.00%,60.00%,0,2.60,98.35%,54,82.86%,0.00%,0.00,1.10%
216,supinated row single arm,List A,1651,10,16.77%,50.00%,80.00%,0,-0.80,93.74%,90,57.93%,1.11%,0.00,-0.15%
217,tall kneeling good morning hands on hips,List A,1074,17,0.00%,100.00%,100.00%,1,0.00,96.92%,166,94.38%,0.00%,0.00,-0.06%
218,tall kneeling good morning with dumbbell,List A,1075,17,2.94%,94.12%,94.12%,1,-0.29,99.34%,169,89.47%,0.00%,0.00,0.26%
219,tall kneeling good mornings hands behind head,List A,1484,3,5.56%,66.67%,66.67%,1,0.67,99.92%,40,3.78%,0.00%,0.00,0.00%
220,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,6.88%,60.00%,80.00%,1,0.00,98.22%,166,78.69%,1.05%,0.00,0.18%
221,tricep kickback kneeling alternating with resting arm up,List A,1262,13,16.92%,38.46%,61.54%,0,-1.38,99.80%,130,50.48%,-0.77%,0.00,0.10%
222,tricep kickback kneeling both arms,MVP,1260,17,5.15%,70.59%,88.24%,1,-0.06,96.51%,170,80.92%,-0.59%,0.00,-0.02%
223,tricep kickback standing alternating with resting arm down,MVP,1270,12,10.28%,50.00%,75.00%,0,-0.83,100.00%,118,81.39%,-1.59%,0.00,0.12%
224,tricep kickback standing alternating with resting arm up,List A,1269,10,18.00%,30.00%,50.00%,0,-1.60,100.00%,99,63.76%,3.00%,0.00,0.00%
225,tricep kickback standing both arms,MVP,1267,18,4.09%,83.33%,94.44%,1,-0.33,99.66%,207,80.25%,0.51%,0.00,0.42%
226,tricep kickback standing single arm with resting arm down,MVP,1268,20,8.64%,65.00%,75.00%,1,-0.15,98.93%,393,85.32%,-1.00%,0.00,-0.18%
227,tuck jump consecutive,List A,1076,17,45.75%,5.88%,11.76%,0,-9.18,93.10%,360,29.72%,-0.55%,0.00,0.15%
228,tuck jump with pause,List A,1077,17,16.99%,23.53%,64.71%,0,-2.06,88.88%,192,45.66%,-1.17%,0.00,0.18%
229,tuck up arms overhead,MVP,1124,18,18.57%,61.11%,72.22%,0,-1.06,79.50%,160,87.89%,1.17%,0.00,0.01%
230,tuck up assisted,MVP,1730,11,2.34%,72.73%,100.00%,1,-0.27,96.58%,121,83.14%,0.00%,0.00,-0.26%
231,tuck up both legs arms by side,MVP,1123,5,2.00%,80.00%,100.00%,1,0.20,97.44%,51,82.13%,0.00%,0.00,0.38%
232,tuck up hands grab feet,MVP,1126,16,3.13%,81.25%,93.75%,1,0.31,93.20%,149,91.90%,0.00%,0.00,0.03%
233,tuck up hands grab knees,MVP,1125,19,7.82%,47.37%,89.47%,1,0.42,96.05%,174,84.13%,0.48%,0.00,0.36%
234,turkish getup alternating,List A,1127,10,100.00%,0.00%,0.00%,0,-5.20,98.19%,52,5.20%,0.00%,0.00,-0.01%
235,turkish getup same side,List A,1128,12,100.00%,0.00%,0.00%,0,-6.33,94.94%,76,18.64%,0.00%,0.00,-0.13%
236,v up arms by side,MVP,1129,14,2.08%,85.71%,92.86%,1,-0.21,92.57%,138,84.43%,-2.01%,0.00,0.84%
237,v up arms overhead,MVP,1130,20,4.75%,80.00%,90.00%,1,-0.10,93.01%,182,78.92%,0.56%,0.00,0.05%
238,v up assisted,MVP,1131,15,8.03%,60.00%,80.00%,1,-0.27,93.50%,153,75.11%,0.19%,0.00,0.23%
239,wide grip bent over row alternating with resting arm down,MVP,1721,6,7.94%,66.67%,66.67%,1,1.00,93.18%,76,75.72%,3.97%,0.00,0.71%
240,wide grip bent over row alternating with resting arm up,List A,1718,8,15.55%,25.00%,37.50%,0,0.75,97.78%,118,47.03%,0.77%,0.00,0.08%
241,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0.00,100.00%,67,96.89%,0.00%,0.00,0.00%
242,wide grip chest press hook lying both arms,MVP,1523,4,2.08%,75.00%,100.00%,1,0.25,97.99%,51,86.72%,0.00%,0.00,-0.26%
243,wide grip chest press table top both arms,MVP,1527,4,1.92%,75.00%,100.00%,1,-0.25,100.00%,50,31.38%,0.00%,0.00,0.00%
244,wood chop kneeling alternating,MVP,1136,10,6.39%,10.00%,100.00%,1,0.70,98.47%,144,99.02%,0.00%,0.00,-0.04%
245,wood chop kneeling single side,MVP,1133,5,3.05%,40.00%,100.00%,1,0.60,99.80%,100,99.04%,0.00%,0.00,0.28%
246,wood chop one knee,MVP,1140,12,7.63%,33.33%,75.00%,1,0.00,94.82%,243,98.68%,0.00%,0.00,-0.27%
247,wood chop sitting alternating,MVP,1135,11,15.04%,0.00%,81.82%,0,1.27,99.96%,144,98.65%,0.00%,0.00,0.16%
248,wood chop sitting single side,MVP,1134,5,4.11%,20.00%,100.00%,1,0.80,98.84%,99,98.22%,0.00%,0.00,-0.18%
249,wood chop standing alternating,MVP,1137,10,8.03%,20.00%,80.00%,1,0.60,99.56%,134,99.35%,0.71%,0.00,-0.11%
250,wood chop standing single side,MVP,1315,9,4.65%,22.22%,100.00%,1,0.33,98.55%,154,99.24%,0.00%,0.00,0.10%
251,zottman curl balancing alternating with resting arm down,MVP,1291,8,0.00%,100.00%,100.00%,1,0.00,94.98%,82,98.27%,-1.25%,0.00,0.51%
252,zottman curl kneeling both arms,MVP,1279,12,1.68%,83.33%,100.00%,1,0.00,98.04%,122,96.20%,0.13%,-1.00,0.02%
253,zottman curl standing alternating with resting arm down,MVP,1287,8,0.00%,100.00%,100.00%,1,0.00,96.33%,77,98.58%,-1.25%,0.00,0.63%
254,zottman curl standing alternating with resting arm up,List A,1281,8,18.13%,0.00%,75.00%,0,1.75,100.00%,78,98.36%,1.25%,0.00,0.40%
255,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.58,97.08%,110,99.40%,0.00%,0.00,-0.13%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
All,Average,,,12.14,8.41%,63.85%,84.52%,0.74,-0.29,94.23%,,83.96%,0.01%,,0.17%
,Sum,256,,3107,,,,,,,,,,-8.00,
,,,,,,,,,,,,,,,
MVP,Average,,,11.86,5.45%,69.81%,89.48%,0.85,-0.18,94.20%,,89.01%,0.06%,,0.03%
,Sum,182,,2159,,,,,,,,,,-6.00,
,,,,,,,,,,,,,,,
List A,Average,,,12.81,15.70%,49.20%,72.33%,0.47,-0.56,94.29%,,71.53%,-0.12%,,0.49%
,Sum,74,,948,,,,,,,,,,-2.00,
