,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
64,dumbbell swing alternating single arm passing dumbbell,List A,679,16,9.96%,37.50%,81.25%,1,-0.63,95.15%,178,89.96%,0.62%,0.00,-0.20%
65,dumbbell swing both arms single dumbbell,List A,681,19,7.19%,52.63%,84.21%,1,0.11,94.46%,201,95.29%,0.00%,0.00,-0.01%
66,dumbbell swing suitcase,List A,687,10,5.67%,40.00%,100.00%,1,0.00,89.96%,107,92.94%,1.00%,0.00,0.27%
67,dumbbell thruster alternating,MVP,689,14,11.72%,57.14%,71.43%,0,-1.29,96.38%,168,98.27%,0.00%,0.00,-0.42%
68,dumbbell thruster classic,MVP,688,12,1.67%,83.33%,100.00%,1,0.17,96.59%,121,98.54%,0.00%,0.00,-0.06%
69,dumbbell thruster to rotational press both arms,MVP,691,10,2.00%,90.00%,90.00%,1,0.20,96.99%,99,92.99%,-1.00%,0.00,0.46%
70,french doors kneeling alternating with resting arm in,MVP,1319,12,4.79%,66.67%,91.67%,1,-0.33,95.81%,123,60.08%,0.00%,0.00,-0.47%
71,french doors kneeling both arms,MVP,1145,11,1.67%,81.82%,100.00%,1,0.00,97.29%,111,76.00%,0.00%,0.00,-0.14%
72,french doors standing alternating with resting arm in,MVP,1320,20,1.83%,85.00%,100.00%,1,0.05,98.83%,198,57.66%,0.33%,0.00,-0.13%
73,french doors standing both arms,MVP,1148,20,1.42%,85.00%,100.00%,1,0.05,98.69%,211,80.28%,0.00%,0.00,-0.06%
74,french doors standing single arm,MVP,1149,14,0.42%,92.86%,100.00%,1,0.07,98.77%,245,67.65%,0.42%,0.00,-0.01%
75,front lunge arms by side,MVP,700,8,8.33%,50.00%,62.50%,1,-1.00,92.77%,92,82.28%,3.19%,0.00,-0.12%
76,front lunge arms out laterally,MVP,704,7,4.29%,57.14%,100.00%,1,0.14,89.26%,73,83.23%,-1.43%,0.00,0.87%
77,front lunge arms overhead,MVP,702,8,5.00%,87.50%,87.50%,1,-0.50,95.17%,80,86.76%,1.25%,0.00,-0.62%
78,front lunge arms straight out,MVP,701,12,4.65%,66.67%,83.33%,1,-0.17,84.35%,120,96.72%,2.36%,0.00,3.46%
79,front lunge hands on hips,MVP,705,8,3.89%,62.50%,100.00%,1,0.13,94.84%,79,86.04%,2.64%,0.00,0.15%
80,front lunge runner arms,MVP,707,14,2.18%,78.57%,92.86%,1,-0.14,94.12%,151,95.70%,-1.43%,0.00,1.06%
81,front lunge weights hanging,MVP,708,14,0.71%,92.86%,100.00%,1,-0.07,95.07%,139,97.41%,0.00%,0.00,1.43%
82,front lunge weights racked,MVP,710,12,2.50%,83.33%,91.67%,1,-0.25,95.40%,119,96.90%,0.00%,0.00,0.51%
83,front lunge with curl,List A,706,9,1.11%,88.89%,100.00%,1,0.11,90.58%,95,97.43%,-9.89%,-1.00,9.22%
84,front raise kneeling alternating with resting arm down,MVP,716,5,2.00%,80.00%,100.00%,1,0.20,97.66%,50,96.76%,2.00%,0.00,1.61%
85,front raise kneeling both arms,MVP,718,10,3.71%,60.00%,100.00%,1,0.00,97.54%,104,99.09%,0.00%,0.00,0.24%
86,front raise kneeling single arm with resting arm down,MVP,719,12,3.19%,66.67%,83.33%,1,0.00,94.60%,220,94.56%,0.42%,0.00,0.13%
87,front raise standing alternating with resting arm down,MVP,731,16,4.31%,68.75%,93.75%,1,-0.44,95.55%,167,96.75%,-0.63%,0.00,-0.38%
